SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureB;1544166006147186340;1544166006148186340;10927.000000;1.000000;BUY;Market
FutureA;1544166006147186340;1544166006187186340;10927.500000;1.000000;SELL;Market
FutureB;1544166017276146057;1544166017277146057;10929.000000;1.000000;SELL;Market
FutureA;1544166017276146057;1544166017316146057;10930.000000;1.000000;BUY;Market
FutureA;1544166023733504585;1544166023773504585;10930.500000;1.000000;BUY;Market
FutureB;1544166023733504585;1544166023734504585;10931.000000;1.000000;SELL;Market
FutureB;1544166041200813499;1544166041201813499;10930.000000;1.000000;BUY;Market
FutureA;1544166041200813499;1544166041240813499;10929.000000;1.000000;SELL;Market
FutureA;1544166077460076010;1544166077500076010;10923.500000;1.000000;SELL;Market
FutureB;1544166077460076010;1544166077461076010;10925.000000;1.000000;BUY;Market
FutureB;1544166223544107476;1544166223545107476;10921.000000;1.000000;SELL;Market
FutureA;1544166223544107476;1544166223584107476;10923.000000;1.000000;BUY;Market
FutureB;1544166266415506940;1544166266416506940;10914.000000;1.000000;SELL;Market
FutureA;1544166266415506940;1544166266455506940;10916.000000;1.000000;BUY;Market
FutureB;1544166619972024825;1544166619973024825;10910.000000;1.000000;BUY;Market
FutureA;1544166619972024825;1544166620012024825;10909.000000;1.000000;SELL;Market
FutureB;1544166634906999762;1544166634907999762;10908.000000;1.000000;BUY;Market
FutureA;1544166634906999762;1544166634946999762;10907.500000;1.000000;SELL;Market
FutureB;1544166655470444660;1544166655471444660;10903.000000;1.000000;SELL;Market
FutureA;1544166655470444660;1544166655510444660;10906.000000;1.000000;BUY;Market
FutureB;1544166820831860779;1544166820832860779;10909.000000;1.000000;BUY;Market
FutureA;1544166820831860779;1544166820871860779;10907.000000;1.000000;SELL;Market
FutureB;1544168059721394954;1544168059722394954;10886.000000;1.000000;SELL;Market
FutureA;1544168059721394954;1544168059761394954;10887.500000;1.000000;BUY;Market
