SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureA;1544166008681726608;1544166008721726608;10927.000000;1.000000;SELL;Market
FutureB;1544166008681726608;1544166008682726608;10924.000000;1.000000;BUY;Market
FutureB;1544166655470444660;1544166655471444660;10903.000000;1.000000;SELL;Market
FutureA;1544166655470444660;1544166655510444660;10906.000000;1.000000;BUY;Market
FutureB;1544169548013367737;1544169548014367737;10871.000000;1.000000;BUY;Market
FutureA;1544169548013367737;1544169548053367737;10869.500000;1.000000;SELL;Market
FutureB;1544195871070727486;1544195871071727486;10870.000000;1.000000;SELL;Market
FutureA;1544195871070727486;1544195871110727486;10871.000000;1.000000;BUY;Market
FutureB;1544196024275314689;1544196024276314689;10869.000000;1.000000;BUY;Market
FutureA;1544196024275314689;1544196024315314689;10867.000000;1.000000;SELL;Market
